alphasoc flightsim linux_64-bit.deb$
BishopFox sliver sliver-client_linux$
BishopFox sliver sliver-client_windows.exe$
mvelazc0 PurpleSharp _x64.exe$
mvelazc0 PurpleSharp _x86.exe$
NextronSystems APTSimulator APTSimulator_pw_apt.zip$
optiv Talon _linux_amd64$
optiv Talon _windows_amd64.exe$
S3cur3Th1sSh1t WinPwn .ps1$
S3cur3Th1sSh1t WinPwn .exe$
lkarlslund Adalanche adalanche-windows-amd64-v.*.exe$
bats3c ADCSPwn .exe$
optiv Freeze _linux_amd64$
optiv Freeze _windows_amd64.exe$
carlospolop PEASS-ng linpeas.sh$
carlospolop PEASS-ng linpeas_fat.sh$
carlospolop PEASS-ng linpeas_linux_amd64.sh$
carlospolop PEASS-ng winPEAS.bat$
carlospolop PEASS-ng winPEASany.exe$
carlospolop PEASS-ng winPEASany_ofs.exe$
carlospolop PEASS-ng winPEASx64.exe$
carlospolop PEASS-ng winPEASx64_ofs.exe$
carlospolop PEASS-ng winPEASx86.exe$
carlospolop PEASS-ng winPEASx86_ofs.exe$
PwnDexter SharpEDRChecker SharpEDRChecker.exe$
optiv Mangle linux_amd64$
optiv Mangle windows_amd64.exe$
optiv ScareCrow linux_amd64$
optiv ScareCrow windows_amd64.exe$
j3ssie osmedeus linux.zip$
